Former code,Subdivision name,In county
AL-BR,Berat,01
AL-BU,Bulqizë,09
AL-DL,Delvinë,12
AL-DV,Devoll,06
AL-DI,Dibër,09
AL-DR,Durrës,02
AL-EL,Elbasan,03
AL-FR,Fier,04
AL-GR,Gramsh,03
AL-GJ,Gjirokastër,05
AL-HA,Has,07
AL-KA,Kavajë,11
AL-ER,Kolonjë,06
AL-KO,Korçë,06
AL-KR,Krujë,02
AL-KC,Kuçovë,01
AL-KU,Kukës,07
AL-KB,Kurbin,08
AL-LE,Lezhë,08
AL-LB,Librazhd,03
AL-LU,Lushnjë,04
AL-MM,Malësi e Madhe,10
AL-MK,Mallakastër,04
AL-MT,Mat,09
AL-MR,Mirditë,08
AL-PQ,Peqin,03
AL-PR,Përmet,05
AL-PG,Pogradec,06
AL-PU,Pukë,10
AL-SR,Sarandë,12
AL-SK,Skrapar,01
AL-SH,Shkodër,10
AL-TE,Tepelenë,05
AL-TR,Tiranë,11
AL-TP,Tropojë,07
AL-VL,Vlorë,12
