Code,Subdivision name ,ISO 9985:1996,Subdivision name ,Subdivision name ,Subdivision category
AM-ER,Erevan,Yerevan,Երևան,city
AM-AG,Aragac̣otn,Aragatsotn,Արագածոտն,region
AM-AR,Ararat,Ararat,Արարատ,region
AM-AV,Armavir,Armavir,Արմավիր,region
AM-GR,Geġark'unik',Gegharkunik,Գեղարքունիք,region
AM-KT,Kotayk',Kotayk,Կոտայք,region
AM-LO,Loṙi,Lori,Լոռի,region
AM-SH,Širak,Shirak,Շիրակ,region
AM-SU,Syunik',Syunik,Սյունիք,region
AM-TV,Tavuš,Tavush,Տավուշ,region
AM-VD,Vayoć Jor,Vayots Dzor,Վայոց Ձոր,region
