Code,Subdivision name ,Subdivision category
AR-C,Ciudad Autónoma de Buenos Aires,city
AR-B,Buenos Aires,province
AR-K,Catamarca,province
AR-H,Chaco,province
AR-U,Chubut,province
AR-X,Córdoba,province
AR-W,Corrientes,province
AR-E,Entre Ríos,province
AR-P,Formosa,province
AR-Y,Jujuy,province
AR-L,La Pampa,province
AR-F,La Rioja,province
AR-M,Mendoza,province
AR-N,Misiones,province
AR-Q,Neuquén,province
AR-R,Río Negro,province
AR-A,Salta,province
AR-J,San Juan,province
AR-D,San Luis,province
AR-Z,Santa Cruz,province
AR-S,Santa Fe,province
AR-G,Santiago del Estero,province
AR-V,Tierra del Fuego,province
AR-T,Tucumán,province
