Code,Subdivision name ,Subdivision name ,Subdivision category,In autonomous republic
AZ-BA,Bakı,Baku,municipality,—
AZ-GA,Gəncə,Ganja,municipality,—
AZ-LA,Lənkəran,Lankaran,municipality,—
AZ-MI,Mingəçevir,Mingachevir,municipality,—
AZ-NA,Naftalan,Naftalan,municipality,—
AZ-NV,Naxçıvan,Nakhchivan,municipality,NX
AZ-SA,Şəki,Shaki,municipality,—
AZ-SR,Şirvan,Shirvan,municipality,—
AZ-SM,Sumqayıt,Sumqayıt,municipality,—
AZ-XA,Xankəndi,Stepanakert,municipality,—
AZ-YE,Yevlax,Yevlakh,municipality,—
AZ-ABS,Abşeron,Absheron,rayon,—
AZ-AGC,Ağcabədi,Aghjabadi,rayon,—
AZ-AGM,Ağdam,Agdam,rayon,—
AZ-AGS,Ağdaş,Agdash,rayon,—
AZ-AGA,Ağstafa,Agstafa,rayon,—
AZ-AGU,Ağsu,Agsu,rayon,—
AZ-AST,Astara,Astara,rayon,—
AZ-BAB,Babək,Babek,rayon,NX
AZ-BAL,Balakən,Balakan,rayon,—
AZ-BAR,Bərdə,Barda,rayon,—
AZ-BEY,Beyləqan,Beylagan,rayon,—
AZ-BIL,Biləsuvar,Bilasuvar,rayon,—
AZ-CAB,Cəbrayıl,Jabrayil,rayon,—
AZ-CAL,Cəlilabad,Jalilabad,rayon,—
AZ-CUL,Culfa,Julfa,rayon,NX
AZ-DAS,Daşkəsən,Dashkasan,rayon,—
AZ-FUZ,Füzuli,Fuzuli,rayon,—
AZ-GAD,Gədəbəy,Gadabay,rayon,—
AZ-GOR,Goranboy,Goranboy,rayon,—
AZ-GOY,Göyçay,Goychay,rayon,—
AZ-GYG,Göygöl,Goygol,rayon,—
AZ-HAC,Hacıqabul,Hajigabul,rayon,—
AZ-IMI,İmişli,Imishli,rayon,—
AZ-ISM,İsmayıllı,Ismailli,rayon,—
AZ-KAL,Kəlbəcər,Kalbajar,rayon,—
AZ-KAN,Kǝngǝrli,Kangarli,rayon,NX
AZ-KUR,Kürdəmir,Kurdamir,rayon,—
AZ-LAC,Laçın,Lachin,rayon,—
AZ-LAN,Lənkəran,Lankaran,rayon,—
AZ-LER,Lerik,Lerik,rayon,—
AZ-MAS,Masallı,Masally,rayon,—
AZ-NEF,Neftçala,Neftchala,rayon,—
AZ-OGU,Oğuz,Oghuz,rayon,—
AZ-ORD,Ordubad,Ordubad,rayon,NX
AZ-QAB,Qəbələ,Qbala,rayon,—
AZ-QAX,Qax,Qakh,rayon,—
AZ-QAZ,Qazax,Qazakh,rayon,—
AZ-QOB,Qobustan,Gobustan,rayon,—
AZ-QBA,Quba,Quba,rayon,—
AZ-QBI,Qubadlı,Qubadlı,rayon,—
AZ-QUS,Qusar,Qusar,rayon,—
AZ-SAT,Saatlı,Saatly,rayon,—
AZ-SAB,Sabirabad,Sabirabad,rayon,—
AZ-SBN,Şabran,Shabran,rayon,—
AZ-SAD,Sədərək,Sadarak,rayon,NX
AZ-SAH,Şahbuz,Shahbuz,rayon,NX
AZ-SAK,Şəki,Shaki,rayon,—
AZ-SAL,Salyan,Salyan,rayon,—
AZ-SMI,Şamaxı,Shamakhi,rayon,—
AZ-SKR,Şəmkir,Shamkir,rayon,—
AZ-SMX,Samux,Samukh,rayon,—
AZ-SAR,Şərur,Sharur,rayon,NX
AZ-SIY,Siyəzən,Siazan,rayon,—
AZ-SUS,Şuşa,Shusha,rayon,—
AZ-TAR,Tərtər,Tartar,rayon,—
AZ-TOV,Tovuz,Tovuz,rayon,—
AZ-UCA,Ucar,Ujar,rayon,—
AZ-XAC,Xaçmaz,Khachmaz,rayon,—
AZ-XIZ,Xızı,Khizi,rayon,—
AZ-XCI,Xocalı,Khojaly,rayon,—
AZ-XVD,Xocavənd,Khojavend,rayon,—
AZ-YAR,Yardımlı,Yardymli,rayon,—
AZ-YEV,Yevlax,Yevlakh,rayon,—
AZ-ZAN,Zəngilan,Zangilan,rayon,—
AZ-ZAQ,Zaqatala,Zaqatala,rayon,—
AZ-ZAR,Zərdab,Zardab,rayon,—
