Code,Subdivision name,In division
BD-05,Bagerhat,D
BD-01,Bandarban,B
BD-02,Barguna,A
BD-06,Barisal,A
BD-07,Bhola,A
BD-03,Bogra,E
BD-04,Brahmanbaria,B
BD-09,Chandpur,B
BD-45,Chapai Nawabganj,E
BD-10,Chittagong,B
BD-12,Chuadanga,D
BD-08,Comilla,B
BD-11,Cox's Bazar,B
BD-13,Dhaka,C
BD-14,Dinajpur,F
BD-15,Faridpur,C
BD-16,Feni,B
BD-19,Gaibandha,F
BD-18,Gazipur,C
BD-17,Gopalganj,C
BD-20,Habiganj,G
BD-21,Jamalpur,H
BD-22,Jessore,D
BD-25,Jhalakathi,A
BD-23,Jhenaidah,D
BD-24,Joypurhat,E
BD-29,Khagrachhari,B
BD-27,Khulna,D
BD-26,Kishoreganj,C
BD-28,Kurigram,F
BD-30,Kushtia,D
BD-31,Lakshmipur,B
BD-32,Lalmonirhat,F
BD-36,Madaripur,C
BD-37,Magura,D
BD-33,Manikganj,C
BD-39,Meherpur,D
BD-38,Moulvibazar,G
BD-35,Munshiganj,C
BD-34,Mymensingh,H
BD-48,Naogaon,E
BD-43,Narail,D
BD-40,Narayanganj,C
BD-42,Narsingdi,C
BD-44,Natore,E
BD-41,Netrakona,H
BD-46,Nilphamari,F
BD-47,Noakhali,B
BD-49,Pabna,E
BD-52,Panchagarh,F
BD-51,Patuakhali,A
BD-50,Pirojpur,A
BD-53,Rajbari,C
BD-54,Rajshahi,E
BD-56,Rangamati,B
BD-55,Rangpur,F
BD-58,Satkhira,D
BD-62,Shariatpur,C
BD-57,Sherpur,H
BD-59,Sirajganj,E
BD-61,Sunamganj,G
BD-60,Sylhet,G
BD-63,Tangail,C
BD-64,Thakurgaon,F
