Former code,Subdivision name,In division,Districts in region
BD-2A,Bandarban anchal,2,01
BD-1B,Barisal anchal,1,06
BD-5C,Bogra anchal,5,03
BD-2D,Chittagong anchal,2,10
BD-2E,Chittagong Hill Tracts,2,29
BD-2F,Comilla anchal,2,04
BD-3G,Dhaka anchal,3,13
BD-5H,Dinajpur anchal,5,14
BD-3I,Faridpur anchal,3,15
BD-3J,Jamalpur anchal,3,21
BD-4K,Jessore anchal,4,22
BD-4L,Khulna anchal,4,05
BD-4M,Khustia anchal,4,12
BD-3N,Mymensingh anchal,3,26
BD-2O,Noakhali anchal,2,16
BD-5P,Pabna anchal,5,49
BD-1Q,Patuakhali anchal,1,02
BD-5R,Rajshahi anchal,5,48
BD-5S,Rangpur anchal,5,19
BD-2T,Sylhet anchal,2,20
BD-3U,Tangail anchal,3,63
