Code,Subdivision name ,Subdivision name 
BT-33,Bumthang,བུམ་ཐང་
BT-12,Chhukha,ཆུ་ཁ་
BT-22,Dagana,དར་དཀར་ན་
BT-GA,Gasa,མགར་ས་
BT-13,Haa,ཧཱ་
BT-44,Lhuentse,ལྷུན་རྩེ་
BT-42,Monggar,མོང་སྒར་
BT-11,Paro,སྤ་རོ་
BT-43,Pemagatshel,པད་མ་དགའ་ཚལ་
BT-23,Punakha,སྤུ་ན་ཁ་
BT-45,Samdrup Jongkhar,བསམ་གྲུབ་ལྗོངས་མཁར
BT-14,Samtse,བསམ་རྩེ་
BT-31,Sarpang,གསར་སྤང་
BT-15,Thimphu,ཐིམ་ཕུ་
BT-41,Trashigang,བཀྲ་ཤིས་སྒང་
BT-TY,Trashi Yangtse,བཀྲ་ཤིས་གྱང་ཙེ་
BT-32,Trongsa,ཀྲོང་གསར་
BT-21,Tsirang,རྩི་རང་
BT-24,Wangdue Phodrang,དབང་འདུས་ཕོ་བྲང་
BT-34,Zhemgang,གཞམས་སྒང་
