Code,Subdivision name ,Subdivision name ,Subdivision category
CD-KN,Kinshasa,Kinshasa,city
CD-BC,Kongo Central,Kongo Central,province
CD-EQ,Équateur,Equator,province
CD-KE,Kasaï Oriental,Kasai-Oriental,province
CD-MA,Maniema,Maniema,province
CD-NK,Nord-Kivu,North Kivu,province
CD-SK,Sud-Kivu,South Kivu,province
CD-BU,Bas-Uélé,Bas-Uele,province
CD-HK,Haut-Katanga,Haut-Katanga,province
CD-HL,Haut-Lomami,Haut-Lomami,province
CD-HU,Haut-Uélé,Haut-Uele,province
CD-IT,Ituri,Ituri,province
CD-KC,Kasaï Central,Kasai Central,province
CD-KG,Kwango,Kwango,province
CD-KL,Kwilu,Kwilu,province
CD-KS,Kasaï,Kasai,province
CD-LO,Lomami,Lomami,province
CD-LU,Lualaba,Lualaba,province
CD-MN,Mai-Ndombe,Mai-Ndombe,province
CD-MO,Mongala,Mongala,province
CD-NU,Nord-Ubangi,North Ubangi,province
CD-SA,Sankuru,Sankuru,province
CD-SU,Sud-Ubangi,South Ubangi,province
CD-TA,Tanganyika,Tanganyika,province
CD-TO,Tshopo,Tshopo,province
CD-TU,Tshuapa,Tshuapa,province
