Former code,Subdivision name 
CI-06,18 Montagnes (Région des)
CI-16,Agnébi (Région de l')
CI-17,Bafing (Région du)
CI-09,Bas-Sassandra (Région du)
CI-10,Denguélé (Région du)
CI-18,Fromager (Région du)
CI-02,Haut-Sassandra (Région du)
CI-07,Lacs (Région des)
CI-01,Lagunes (Région des)
CI-12,Marahoué (Région de la)
CI-19,Moyen-Cavally (Région du)
CI-05,Moyen-Comoé (Région du)
CI-11,Nzi-Comoé (Région)
CI-03,Savanes (Région des)
CI-15,Sud-Bandama (Région du)
CI-13,Sud-Comoé (Région du)
CI-04,Vallée du Bandama (Région de la)
CI-14,Worodougou (Région du)
CI-08,Zanzan (Région du)
