Code,Subdivision name ,In geographical region
CV-BV,Boa Vista,B
CV-BR,Brava,S
CV-MA,Maio,S
CV-MO,Mosteiros,S
CV-PA,Paul,B
CV-PN,Porto Novo,B
CV-PR,Praia,S
CV-RB,Ribeira Brava,B
CV-RG,Ribeira Grande,B
CV-RS,Ribeira Grande de Santiago,S
CV-SL,Sal,B
CV-CA,Santa Catarina,S
CV-CF,Santa Catarina do Fogo,S
CV-CR,Santa Cruz,S
CV-SD,São Domingos,S
CV-SF,São Filipe,S
CV-SO,São Lourenço dos Órgãos,S
CV-SM,São Miguel,S
CV-SS,São Salvador do Mundo,S
CV-SV,São Vicente,B
CV-TA,Tarrafal,S
CV-TS,Tarrafal de São Nicolau,B
