Code,Subdivision name ,Subdivision name ,Subdivision category
CZ-31,Jihočeský kraj,South Bohemia,region
CZ-64,Jihomoravský kraj,South Moravia,region
CZ-41,Karlovarský kraj,Karlovy Vary,region
CZ-52,Královéhradecký kraj,Hradec Králové,region
CZ-51,Liberecký kraj,Liberec,region
CZ-80,Moravskoslezský kraj,Moravia-Silesia,region
CZ-71,Olomoucký kraj,Olomouc,region
CZ-53,Pardubický kraj,Pardubice,region
CZ-32,Plzeňský kraj,Plzeň,region
CZ-10,Praha Hlavní město,Prague,capital city
CZ-20,Středočeský kraj,Central Bohemia,region
CZ-42,Ústecký kraj,Ústí nad Labem,region
CZ-63,Kraj Vysočina,Vysočina,region
CZ-72,Zlínský kraj,Zlín,region
