Code,Subdivision name,In region
CZ-201,Benešov,20
CZ-202,Beroun,20
CZ-641,Blansko,64
CZ-642,Brno-město,64
CZ-643,Brno-venkov,64
CZ-801,Bruntál,80
CZ-644,Břeclav,64
CZ-511,Česká Lípa,51
CZ-311,České Budějovice,31
CZ-312,Český Krumlov,31
CZ-421,Děčín,42
CZ-321,Domažlice,32
CZ-802,Frýdek Místek,80
CZ-631,Havlíčkův Brod,63
CZ-645,Hodonín,64
CZ-521,Hradec Králové,52
CZ-411,Cheb,41
CZ-422,Chomutov,42
CZ-531,Chrudim,53
CZ-512,Jablonec nad Nisou,51
CZ-711,Jeseník,71
CZ-522,Jičín,52
CZ-632,Jihlava,63
CZ-313,Jindřichův Hradec,31
CZ-412,Karlovy Vary,41
CZ-803,Karviná,80
CZ-203,Kladno,20
CZ-322,Klatovy,32
CZ-204,Kolín,20
CZ-721,Kroměříž,72
CZ-205,Kutná Hora,20
CZ-513,Liberec,51
CZ-423,Litoměřice,42
CZ-424,Louny,42
CZ-206,Mělník,20
CZ-207,Mladá Boleslav,20
CZ-425,Most,42
CZ-523,Náchod,52
CZ-804,Nový Jičín,80
CZ-208,Nymburk,20
CZ-712,Olomouc,71
CZ-805,Opava,80
CZ-806,Ostrava-město,80
CZ-532,Pardubice,53
CZ-633,Pelhřimov,63
CZ-314,Písek,31
CZ-324,Plzeň-jih,32
CZ-323,Plzeň-město,32
CZ-325,Plzeň-sever,32
CZ-209,Praha-východ,20
CZ-20A,Praha-západ,20
CZ-315,Prachatice,31
CZ-713,Prostějov,71
CZ-714,Přerov,71
CZ-20B,Příbram,20
CZ-20C,Rakovník,20
CZ-326,Rokycany,32
CZ-524,Rychnov nad Kněžnou,52
CZ-514,Semily,51
CZ-413,Sokolov,41
CZ-316,Strakonice,31
CZ-533,Svitavy,53
CZ-715,Šumperk,71
CZ-317,Tábor,31
CZ-327,Tachov,32
CZ-426,Teplice,42
CZ-525,Trutnov,52
CZ-634,Třebíč,63
CZ-722,Uherské Hradiště,72
CZ-427,Ústí nad Labem,42
CZ-534,Ústí nad Orlicí,53
CZ-723,Vsetín,72
CZ-646,Vyškov,64
CZ-724,Zlín,72
CZ-647,Znojmo,64
CZ-635,Žďár nad Sázavou,63
