Code,Subdivision Name ,Subdivision Name 
DE-BW,Baden-Württemberg,Baden-Württemberg
DE-BY,Bayern,Bavaria
DE-BE,Berlin,Berlin
DE-BB,Brandenburg,Brandenburg
DE-HB,Bremen,Bremen
DE-HH,Hamburg,Hamburg
DE-HE,Hessen,Hesse
DE-MV,Mecklenburg-Vorpommern,Mecklenburg-Western Pomerania
DE-NI,Niedersachsen,Lower Saxony
DE-NW,Nordrhein-Westfalen,North Rhine-Westphalia
DE-RP,Rheinland-Pfalz,Rhineland-Palatinate
DE-SL,Saarland,Saarland
DE-SN,Sachsen,Saxony
DE-ST,Sachsen-Anhalt,Saxony-Anhalt
DE-SH,Schleswig-Holstein,Schleswig-Holstein
DE-TH,Thüringen,Thuringia
