Code,Subdivision name,Subdivision category
FR-CP,Clipperton,dependency
FR-GF,Guyane (française),overseas territorial collectivity
FR-MQ,Martinique,overseas territorial collectivity
FR-NC,Nouvelle-Calédonie,overseas territorial collectivity
FR-PF,Polynésie française,overseas territorial collectivity
FR-BL,Saint-Barthélemy,overseas territorial collectivity
FR-MF,Saint-Martin,overseas territorial collectivity
FR-PM,Saint-Pierre-et-Miquelon,overseas territorial collectivity
FR-TF,Terres australes françaises,overseas territorial collectivity
FR-WF,Wallis-et-Futuna,overseas territorial collectivity
