Former code,Subdivision name,Subdivision category,In autonomous republic
GE-BUS,Bat'umi,city,AJ
GE-CHI,Chiat'ura,city territory (now municipality),—
GE-GAG,Gagra,city territory (now municipality),AB
GE-GOR,Gori,city,—
GE-KUT,Kutaisi,city,—
GE-PTI,Poti,city,—
GE-RUS,Rustavi,city,—
GE-SUI,Sokhumi,Sokhumi Municipality,AB
GE-TBS,T'bilisi,city,—
GE-TQI,Tqibuli,city territory (now municipality),—
GE-TQV,Tqvarch'eli,city,AB
GE-TSQ,Tsqaltubo,city territory (now municipality),—
GE-ZUG,Zugdidi,Zugdidi Municipality,—
GE-01,Abashis Raioni,rayon (now municipality),—
GE-02,Adigenis Raioni,rayon (now municipality),—
GE-03,Akhalgoris Raioni,rayon (now municipality),—
GE-04,Akhalk'alak'is Raioni,rayon (now municipality),—
GE-05,Akhalts'ikhis Raioni,rayon (now municipality),—
GE-06,Akhmetis Raioni,rayon (now municipality),—
GE-07,Ambrolauris Raioni,rayon (now municipality),—
GE-08,Aspindzis Raioni,rayon (now municipality),—
GE-09,Baghdat'is Raioni,rayon (now municipality),—
GE-10,Bolnisis Raioni,rayon (now municipality),—
GE-11,Borjomis Raioni,rayon (now municipality),—
GE-12,Ch'khorotsqus Raioni,rayon (now municipality),—
GE-13,Ch'okhatauris Raioni,rayon,—
GE-14,Dedop'listsqaros Raioni,rayon (now municipality),—
GE-15,Dmanisis Raioni,rayon (now municipality),—
GE-16,Dushet'is Raioni,rayon (now municipality),—
GE-17,Galis Raioni,rayon (now municipality),AB
GE-18,Gardabnis Raioni,rayon (now municipality),—
GE-19,Goris Raioni,rayon (now municipality),—
GE-20,Gudaut'is Raioni,rayon,AB
GE-21,Gulrip'shis Raioni,rayon,AB
GE-22,Gurjaanis Raioni,rayon,—
GE-23,Javis Raioni,rayon,—
GE-24,K'arelis Raioni,rayon,—
GE-25,Kaspis Raioni,rayon,—
GE-26,K'edis Raioni,rayon,AJ
GE-27,Kharagaulis Raioni,rayon,—
GE-28,Khashuris Raioni,rayon,—
GE-29,Khelvach'auris Raioni,rayon,AJ
GE-30,Khobis Raioni,rayon,—
GE-31,Khonis Raioni,rayon,—
GE-32,Khulos Raioni,rayon,AJ
GE-33,K'obuletis Raioni,rayon,AJ
GE-34,Lagodekhis Raioni,rayon,—
GE-35,Lanch'khut'is Raioni,rayon,—
GE-36,Lentekhis Raioni,rayon,—
GE-37,Marneulis Raioni,rayon,—
GE-38,Martvilis Raioni,rayon,—
GE-39,Mestiis Raioni,rayon,—
GE-40,Mts'khet'is Raioni,rayon,—
GE-41,Ninotsmindis Raioni,rayon,—
GE-42,Och'amch'iris Raioni,rayon,AB
GE-43,Onis Raioni,rayon,—
GE-44,Ozurget'is Raioni,rayon,—
GE-45,Qazbegis Raioni,rayon,—
GE-46,Qvarlis Raioni,rayon,—
GE-47,Sach'kheris Raioni,rayon,—
GE-48,Sagarejos Raioni,rayon,—
GE-49,Samtrediis Raioni,rayon,—
GE-50,Senakis Raioni,rayon,—
GE-51,Shuakhevis Raioni,rayon,AJ
GE-52,Sighnaghis Raioni,rayon,—
GE-53,Sokhumis Raioni,rayon,AB
GE-54,T'elavis Raioni,rayon,—
GE-55,T'erjolis Raioni,rayon,—
GE-56,T'et'ritsqaros Raioni,rayon,—
GE-57,T'ianet'is Raioni,rayon,—
GE-58,Ts'ageris Raioni,rayon,—
GE-59,Tsalenjikhis Raioni,rayon,—
GE-60,Tsalkis Raioni,rayon,—
GE-61,Vanis Raioni,rayon,—
GE-62,Zestap'onis Raioni,rayon,—
GE-63,Zugdidis Raioni,rayon,—
