Code,Subdivision name,In administrative region
GN-BE,Beyla,N
GN-BF,Boffa,B
GN-BK,Boké,B
GN-CO,Coyah,D
GN-DB,Dabola,F
GN-DL,Dalaba,M
GN-DI,Dinguiraye,F
GN-DU,Dubréka,D
GN-FA,Faranah,F
GN-FO,Forécariah,D
GN-FR,Fria,B
GN-GA,Gaoual,B
GN-GU,Guékédou,N
GN-KA,Kankan,K
GN-KE,Kérouané,K
GN-KD,Kindia,D
GN-KS,Kissidougou,F
GN-KB,Koubia,L
GN-KN,Koundara,B
GN-KO,Kouroussa,K
GN-LA,Labé,L
GN-LE,Lélouma,L
GN-LO,Lola,N
GN-MC,Macenta,N
GN-ML,Mali,L
GN-MM,Mamou,M
GN-MD,Mandiana,K
GN-NZ,Nzérékoré,N
GN-PI,Pita,M
GN-SI,Siguiri,K
GN-TE,Télimélé,D
GN-TO,Tougué,L
GN-YO,Yomou,N
