Former code,Subdivision name,Subdivision category,In administrative region
GR-13,Achaḯa,department ,G
GR-01,Aitoloakarnanía,department ,G
GR-11,Argolída,department ,J
GR-12,Arkadía,department ,J
GR-31,Árta,department ,D
GR-A1,Attikí,department ,I
GR-64,Chalkidikí,department ,B
GR-94,Chaniá,department ,M
GR-85,Chíos,department ,K
GR-81,Dodekánisa,department ,L
GR-52,Dráma,department ,A
GR-71,Évros,department ,A
GR-05,Evrytanía,department ,H
GR-04,Évvoia,department ,H
GR-63,Flórina,department ,C
GR-07,Fokída,department ,H
GR-06,Fthiótida,department ,H
GR-51,Grevená,department ,C
GR-14,Ileía,department ,G
GR-53,Imathía,department ,B
GR-33,Ioánnina,department ,D
GR-91,Irakleío,department ,M
GR-41,Kardítsa,department ,E
GR-56,Kastoriá,department ,C
GR-55,Kavála,department ,A
GR-23,Kefallinía,department ,F
GR-22,Kérkyra,department ,F
GR-57,Kilkís,department ,B
GR-15,Korinthía,department ,J
GR-58,Kozáni,department ,C
GR-82,Kykládes,department ,L
GR-16,Lakonía,department ,J
GR-42,Lárisa,department ,E
GR-92,Lasíthi,department ,M
GR-24,Lefkáda,department ,F
GR-83,Lésvos,department ,K
GR-43,Magnisía,department ,E
GR-17,Messinía,department ,J
GR-59,Pélla,department ,B
GR-61,Piería,department ,B
GR-34,Préveza,department ,D
GR-93,Rethýmnis,department ,M
GR-73,Rodópi,department ,A
GR-84,Sámos,department ,K
GR-62,Sérres,department ,B
GR-32,Thesprotía,department ,D
GR-54,Thessaloníki,department ,B
GR-44,Tríkala,department ,E
GR-03,Voiotía,department ,H
GR-72,Xánthi,department ,A
GR-21,Zákynthos,department ,F
