Code,Subdivision name ,Subdivision Name ,Subdivision category
HR-21,Grad Zagreb,Zagreb City,city
HR-07,Bjelovarsko-bilogorska županija,Bjelovar-Bilogora,county
HR-12,Brodsko-posavska županija,Brod-Posavina,county
HR-19,Dubrovačko-neretvanska županija,Dubrovnik-Neretva,county
HR-18,Istarska županija,Istria,county
HR-04,Karlovačka županija,Karlovac,county
HR-06,Koprivničko-križevačka županija,Koprivnica-Križevci,county
HR-02,Krapinsko-zagorska županija,Krapina-Zagorje,county
HR-09,Ličko-senjska županija,Lika-Senj,county
HR-20,Međimurska županija,Međimurje,county
HR-14,Osječko-baranjska županija,Osijek-Baranja,county
HR-11,Požeško-slavonska županija,Požega-Slavonia,county
HR-08,Primorsko-goranska županija,Primorje-Gorski Kotar,county
HR-03,Sisačko-moslavačka županija,Sisak-Moslavina,county
HR-17,Splitsko-dalmatinska županija,Split-Dalmatia,county
HR-15,Šibensko-kninska županija,Šibenik-Knin,county
HR-05,Varaždinska županija,Varaždin,county
HR-10,Virovitičko-podravska županija,Virovitica-Podravina,county
HR-16,Vukovarsko-srijemska županija,Vukovar-Srijem,county
HR-13,Zadarska županija,Zadar,county
HR-01,Zagrebačka županija,Zagreb County,county
