Code,Subdivision name ,Subdivision category
HU-BU,Budapest,capital city
HU-BK,Bács-Kiskun,county
HU-BA,Baranya,county
HU-BE,Békés,county
HU-BZ,Borsod-Abaúj-Zemplén,county
HU-CS,Csongrád,county
HU-FE,Fejér,county
HU-GS,Győr-Moson-Sopron,county
HU-HB,Hajdú-Bihar,county
HU-HE,Heves,county
HU-JN,Jász-Nagykun-Szolnok,county
HU-KE,Komárom-Esztergom,county
HU-NO,Nógrád,county
HU-PE,Pest,county
HU-SO,Somogy,county
HU-SZ,Szabolcs-Szatmár-Bereg,county
HU-TO,Tolna,county
HU-VA,Vas,county
HU-VE,Veszprém,county
HU-ZA,Zala,county
HU-BC,Békéscsaba,city with county rights
HU-DE,Debrecen,city with county rights
HU-DU,Dunaújváros,city with county rights
HU-EG,Eger,city with county rights
HU-ER,Érd,city with county rights
HU-GY,Győr,city with county rights
HU-HV,Hódmezővásárhely,city with county rights
HU-KV,Kaposvár,city with county rights
HU-KM,Kecskemét,city with county rights
HU-MI,Miskolc,city with county rights
HU-NK,Nagykanizsa,city with county rights
HU-NY,Nyíregyháza,city with county rights
HU-PS,Pécs,city with county rights
HU-ST,Salgótarján,city with county rights
HU-SN,Sopron,city with county rights
HU-SD,Szeged,city with county rights
HU-SF,Székesfehérvár,city with county rights
HU-SS,Szekszárd,city with county rights
HU-SK,Szolnok,city with county rights
HU-SH,Szombathely,city with county rights
HU-TB,Tatabánya,city with county rights
HU-VM,Veszprém,city with county rights
HU-ZE,Zalaegerszeg,city with county rights
