Code,Subdivision name 
IR-32,Alborz
IR-03,Ardabīl
IR-02,Āz̄ārbāyjān-e Ghārbī
IR-01,Āz̄ārbāyjān-e Shārqī
IR-06,Būshehr
IR-08,Chahār Maḩāl va Bakhtīārī
IR-04,Eşfahān
IR-14,Fārs
IR-19,Gīlān
IR-27,Golestān
IR-24,Hamadān
IR-23,Hormozgān
IR-05,Īlām
IR-15,Kermān
IR-17,Kermānshāh
IR-29,Khorāsān-e Jonūbī
IR-30,Khorāsān-e Raẕavī
IR-31,Khorāsān-e Shomālī
IR-10,Khūzestān
IR-18,Kohgīlūyeh va Bowyer Aḩmad
IR-16,Kordestān
IR-20,Lorestān
IR-22,Markazī
IR-21,Māzandarān
IR-28,Qazvīn
IR-26,Qom
IR-12,Semnān
IR-13,Sīstān va Balūchestān
IR-07,Tehrān
IR-25,Yazd
IR-11,Zanjān
