Code,Subdivision name ,National draft 1997,Subdivision name ,BGN/PCGN 1972,Local variant,Subdivision category
KH-12,Phnom Penh,Phnum Pénh,,autonomous municipality
,Baat Dambang,Bătdâmbâng,Battambang,province
,Banteay Mean Chey,Bântéay Méanchey,Banteay Meanchey,province
,Kampong Chaam,Kâmpóng Cham,Kampong Cham,province
,Kampong Chhnang,Kâmpóng Chhnăng,,province
,Kampong Spueu,Kâmpóng Spœ,Kampong Speu,province
,Kampong Thum,Kâmpóng Thum,Kampong Thom,province
,Kampot,Kâmpôt,,province
,Kandaal,Kândal,Kandal,province
,Kaoh Kong,Kaôh Kŏng,Koh Kong,province
KH-10,Kracheh,Krâchéh,Kratie,province
KH-23,Kaeb,Kêb,Kep,province
KH-24,Pailin,Pailĭn,,province
KH-18,Preah Sihanouk,Preăh Sihanouk,Sihanoukville,province
KH-11,Mondol Kiri,Môndól Kiri,Mondolkiri,province
KH-22,Otdar Mean Chey,Ŏtdâr Méanchey,Oddar Meanchey,province
KH-15,Pousaat,Poŭthĭsăt,Pursat,province
KH-13,Preah Vihear,Preăh Vihéar,,province
KH-14,Prey Veaeng,Prey Vêng,Prey Veng,province
KH-16,Rotanak Kiri,Rôtânôkiri,Ratanakiri,province
KH-17,Siem Reab,Siĕmréab,Siem Reap,province
KH-19,Stueng Traeng,Stoĕng Trêng,Stung Treng,province
KH-20,Svaay Rieng,Svay Riĕng,Svay Rieng,province
KH-21,Taakaev,Takêv,Takeo,province
KH-25,Tbong Khmum,Tbong Khmŭm,,province
