Code,Subdivision name (en,Abbreviation,In state
KN-01,Christ Church Nichola Town,CCN,K
KN-02,Saint Anne Sandy Point,ASP,K
KN-03,Saint George Basseterre,GBA,K
KN-04,Saint George Gingerland,GGI,N
KN-05,Saint James Windward,JWI,N
KN-06,Saint John Capisterre,JCA,K
KN-07,Saint John Figtree,JFI,N
KN-08,Saint Mary Cayon,MCA,K
KN-09,Saint Paul Capisterre,PCA,K
KN-10,Saint Paul Charlestown,PCH,N
KN-11,Saint Peter Basseterre,PBS,K
KN-12,Saint Thomas Lowland,TLO,N
KN-13,Saint Thomas Middle Island,TMI,K
KN-15,Trinity Palmetto Point,TPP,K
