Code,Subdivision name ,Subdivision name ,Subdivision category,1939,KPS 11080:2002

KP-01,Pyongyang,P'yǒngyang,Phyeongyang,capital city
KP-13,Rason,Najin Sǒnbong),Raseon,special city
KP-14,Nampo,Namp’o,Nampho,metropolitan city
KP-02,South Pyongan,P'yǒngan-namdo,Phyeongannamto,province
KP-03,North Pyongan,P'yǒngan-bukto,Phyeonganpukto,province
KP-04,Chagang,Chagang-do,Jakangto,province
KP-05,South Hwanghae,Hwanghae-namdo,Hwanghainamto,province
KP-06,North Hwanghae,Hwanghae-bukto,Hwanghaipukto,province
KP-07,Kangwon,Kangwǒn-do,Kangweonto,province
KP-08,South Hamgyong,Hamgyǒng-namdo,Hamkyeongnamto,province
KP-09,North Hamgyong,Hamgyǒng-bukto,Hamkyeongpukto,province
KP-10,Ryanggang,Ryanggang-do,Ryangkangto,province
