Code,Subdivision name ,Subdivision name ,Subdivision category,1947,1983 = UN V/18 1987
KZ-ALA,Almaty,Almaty,Almaty,city
KZ-AST,Astana,Astana,Astana,city
KZ-ALM,Almaty oblysy,Almatinskaya oblast',Almatinskaja oblast',region
KZ-AKM,Aqmola oblysy,Akmolinskaya oblast',Akmolinskaja oblast',region
KZ-AKT,Aqtöbe oblysy,Aktyubinskaya oblast',Aktjubinskaja oblast',region
KZ-ATY,Atyraū oblysy,Atyrauskaya oblast',Atyrauskaja oblast',region
KZ-BAY,Bayqongyr,Baykonyr,Bajkonyr,city
KZ-ZAP,Batys Qazaqstan oblysy,Zapadno-Kazakhstanskaya oblast',Zapadno-Kazahstanskaja oblast',region
KZ-MAN,Mangghystaū oblysy,Mangistauskaya oblast',Mangystauskaja oblast',region
KZ-YUZ,Türkistan oblysy,Turkestankaya oblast',Turkestanskaja oblast',region
KZ-PAV,Pavlodar oblysy,Pavlodarskaya oblast',Pavlodarskaja oblast',region
KZ-KAR,Qaraghandy oblysy,Karagandinskaya oblast',Karagandinskaja oblast',region
KZ-KUS,Qostanay oblysy,Kostanayskaya oblast',Kostanajskaja oblast',region
KZ-KZY,Qyzylorda oblysy,Kyzylordinskaya oblast',Kyzylordinskaja oblast',region
KZ-VOS,Shyghys Qazaqstan oblysy,Vostochno-Kazakhstanskaya oblast',Vostočno-Kazahstanskaja oblast',region
KZ-SHY,Shymkent,Shymkent,Šimkent,city
KZ-SEV,Soltüstik Qazaqstan oblysy,Severo-Kazakhstanskaya oblast',Severo-Kazahstanskaja oblast',region
KZ-ZHA,Zhambyl oblysy,Zhambylskaya oblast',Žambylskaja oblast',region
