Code,Subdivision name ,Local variant,Subdivision category
LA-VT,Viangchan,Vientiane,prefecture
LA-AT,Attapu,Attapeu,province
LA-BK,Bokèo,,province
LA-BL,Bolikhamxai,Borikhamxay,province
LA-CH,Champasak,Champasack,province
LA-HO,Houaphan,Huaphanh,province
LA-KH,Khammouan,Khammuane,province
LA-LM,Louang Namtha,Luangnamtha,province
LA-LP,Louangphabang,Luangprabang,province
LA-OU,Oudômxai,Oudomxay,province
LA-PH,Phôngsali,Phongsaly,province
LA-SL,Salavan,Saravane,province
LA-SV,Savannakhét,Savannakhet,province
LA-VI,Viangchan,Vientiane,province
LA-XA,Xaignabouli,Xayabury,province
LA-XE,Xékong,Sekong,province
LA-XI,Xiangkhouang,Xiengkhuang,province
LA-XS,Xaisômboun,Xaysomboon,province
