Code,Subdivision name ,Subdivision name ,Subdivision name ,UN II/11 1972,Parent subdivision
LK-11,Colombo,Kŏḷamba,Kŏl̮umpu,LK-1
LK-12,Gampaha,Gampaha,Kampahā,LK-1
LK-13,Kalutara,Kaḷutara,Kaḷuttuṟai,LK-1
LK-21,Kandy,Mahanuvara,Kaṇṭi,LK-2
LK-22,Matale,Mātale,Māttaḷai,LK-2
LK-23,Nuwara Eliya,Nuvara Ĕliya,Nuvarĕliyā,LK-2
LK-31,Galle,Gālla,Kāli,LK-3
LK-32,Matara,Mātara,Māttaṛai,LK-3
LK-33,Hambantota,Hambantŏṭa,Ampāntōṭṭai,LK-3
LK-41,Jaffna,Yāpanaya,Yāl̮ppāṇam,LK-4
LK-42,Kilinochchi,Kilinŏchchi,Kiḷinochchi,LK-4
LK-43,Mannar,Mannārama,Maṉṉār,LK-4
LK-44,Vavuniya,Vavuniyāva,Vavuṉiyā,LK-4
LK-45,Mullaittivu,Mulativ,Mullaittīvu,LK-4
LK-51,Batticaloa,Maḍakalapuva,Maṭṭakkaḷappu,LK-5
LK-52,Ampara,Ampāra,Ampāṟai,LK-5
LK-53,Trincomalee,Trikuṇāmalaya,Tirukŏṇamalai,LK-5
LK-61,Kurunegala,Kuruṇægala,Kurunākal,LK-6
LK-62,Puttalam,Puttalama,Puttaḷam,LK-6
LK-71,Anuradhapura,Anurādhapura,Anurātapuram,LK-7
LK-72,Polonnaruwa,Pŏḷŏnnaruva,Pŏlaṉṉaṛuvai,LK-7
LK-81,Badulla,Badulla,Patuḷai,LK-8
LK-82,Monaragala,Mŏṇarāgala,Mŏṉarākalai,LK-8
LK-91,Ratnapura,Ratnapura,Irattiṉapuri,LK-9
LK-92,Kegalla,Kægalla,Kekālai,LK-9
