Code,Subdivision name ,Subdivision name ,Subdivision name ,Subdivision name 
LU-CA,Capellen,Capellen,Capellen,Kapellen
LU-CL,Clervaux,Clerf,Clervaux,Klierf
LU-DI,Diekirch,Diekirch,Diekirch,Diekrech
LU-EC,Echternach,Echternach,Echternach,Iechternach
LU-ES,Esch-sur-Alzette,Esch an der Alzette,Esch-sur-Alzette,Esch-Uelzecht
LU-GR,Grevenmacher,Grevenmacher,Grevenmacher,Gréivemaacher
LU-LU,Luxembourg,Luxemburg,Luxembourg,Lëtzebuerg
LU-ME,Mersch,Mersch,Mersch,Miersch
LU-RD,Redange,Redingen,Redange,Réiden-Atert
LU-RM,Remich,Remich,Remich,Réimech
LU-VD,Vianden,Vianden,Vianden,Veianen
LU-WI,Wiltz,Wiltz,Wiltz,Wolz
