Code,Subdivision name ,Local variant,Subdivision category
LV-001,Aglonas novads,Aglona ,municipality
LV-002,Aizkraukles novads,Aizkraukle ,municipality
LV-003,Aizputes novads,Aizpute ,municipality
LV-004,Aknīstes novads,Aknīste ,municipality
LV-005,Alojas novads,Aloja ,municipality
LV-006,Alsungas novads,Alsunga ,municipality
LV-007,Alūksnes novads,Alūksne ,municipality
LV-008,Amatas novads,Amata ,municipality
LV-009,Apes novads,Ape ,municipality
LV-010,Auces novads,Auce ,municipality
LV-011,Ādažu novads,Ādaži ,municipality
LV-012,Babītes novads,Babīte ,municipality
LV-013,Baldones novads,Baldone ,municipality
LV-014,Baltinavas novads,Baltinava ,municipality
LV-015,Balvu novads,Balvi ,municipality
LV-016,Bauskas novads,Bauska ,municipality
LV-017,Beverīnas novads,Beverīna ,municipality
LV-018,Brocēnu novads,Brocēni ,municipality
LV-019,Burtnieku novads,Burtnieki ,municipality
LV-020,Carnikavas novads,Carnikava ,municipality
LV-021,Cesvaines novads,Cesvaine ,municipality
LV-022,Cēsu novads,Cēsis ,municipality
LV-023,Ciblas novads,Cibla ,municipality
LV-024,Dagdas novads,Dagda ,municipality
LV-025,Daugavpils novads,Daugavpils ,municipality
LV-026,Dobeles novads,Dobele ,municipality
LV-027,Dundagas novads,Dundaga ,municipality
LV-028,Durbes novads,Durbe ,municipality
LV-029,Engures novads,Engure ,municipality
LV-030,Ērgļu novads,Ērgļi ,municipality
LV-031,Garkalnes novads,Garkalne ,municipality
LV-032,Grobiņas novads,Grobiņa ,municipality
LV-033,Gulbenes novads,Gulbene ,municipality
LV-034,Iecavas novads,Iecava ,municipality
LV-035,Ikšķiles novads,Ikšķile ,municipality
LV-036,Ilūkstes novads,Ilūkste ,municipality
LV-037,Inčukalna novads,Inčukalns ,municipality
LV-038,Jaunjelgavas novads,Jaunjelgava ,municipality
LV-039,Jaunpiebalgas novads,Jaunpiebalga ,municipality
LV-040,Jaunpils novads,Jaunpils ,municipality
LV-041,Jelgavas novads,Jelgava ,municipality
LV-042,Jēkabpils novads,Jēkabpils ,municipality
LV-043,Kandavas novads,Kandava ,municipality
LV-044,Kārsavas novads,Kārsava ,municipality
LV-045,Kocēnu novads,Kocēni ,municipality
LV-046,Kokneses novads,Koknese ,municipality
LV-047,Krāslavas novads,Krāslava ,municipality
LV-048,Krimuldas novads,Krimulda ,municipality
LV-049,Krustpils novads,Krustpils ,municipality
LV-050,Kuldīgas novads,Kuldīga ,municipality
LV-051,Ķeguma novads,Ķegums ,municipality
LV-052,Ķekavas novads,Ķekava ,municipality
LV-053,Lielvārdes novads,Lielvārde ,municipality
LV-054,Limbažu novads,Limbaži ,municipality
LV-055,Līgatnes novads,Līgatne ,municipality
LV-056,Līvānu novads,Līvāni ,municipality
LV-057,Lubānas novads,Lubāna ,municipality
LV-058,Ludzas novads,Ludza ,municipality
LV-059,Madonas novads,Madona ,municipality
LV-060,Mazsalacas novads,Mazsalaca ,municipality
LV-061,Mālpils novads,Mālpils ,municipality
LV-062,Mārupes novads,Mārupe ,municipality
LV-063,Mērsraga novads,Mērsrags ,municipality
LV-064,Naukšēnu novads,Naukšēni ,municipality
LV-065,Neretas novads,Nereta ,municipality
LV-066,Nīcas novads,Nīca ,municipality
LV-067,Ogres novads,Ogre ,municipality
LV-068,Olaines novads,Olaine ,municipality
LV-069,Ozolnieku novads,Ozolnieki ,municipality
LV-070,Pārgaujas novads,Pārgauja ,municipality
LV-071,Pāvilostas novads,Pāvilosta ,municipality
LV-072,Pļaviņu novads,Pļaviņas ,municipality
LV-073,Preiļu novads,Preiļi ,municipality
LV-074,Priekules novads,Priekule ,municipality
LV-075,Priekuļu novads,Priekuļi ,municipality
LV-076,Raunas novads,Rauna ,municipality
LV-077,Rēzeknes novads,Rēzekne ,municipality
LV-078,Riebiņu novads,Riebiņi ,municipality
LV-079,Rojas novads,Roja ,municipality
LV-080,Ropažu novads,Ropaži ,municipality
LV-081,Rucavas novads,Rucava ,municipality
LV-082,Rugāju novads,Rugāji ,municipality
LV-083,Rundāles novads,Rundāle ,municipality
LV-084,Rūjienas novads,Rūjiena ,municipality
LV-085,Salas novads,Sala ,municipality
LV-086,Salacgrīvas novads,Salacgrīva ,municipality
LV-087,Salaspils novads,Salaspils ,municipality
LV-088,Saldus novads,Saldus ,municipality
LV-089,Saulkrastu novads,Saulkrasti ,municipality
LV-090,Sējas novads,Sēja ,municipality
LV-091,Siguldas novads,Sigulda ,municipality
LV-092,Skrīveru novads,Skrīveri ,municipality
LV-093,Skrundas novads,Skrunda ,municipality
LV-094,Smiltenes novads,Smiltene ,municipality
LV-095,Stopiņu novads,Stopiņi ,municipality
LV-096,Strenču novads,Strenči ,municipality
LV-097,Talsu novads,Talsi ,municipality
LV-098,Tērvetes novads,Tērvete ,municipality
LV-099,Tukuma novads,Tukums ,municipality
LV-100,Vaiņodes novads,Vaiņode ,municipality
LV-101,Valkas novads,Valka ,municipality
LV-102,Varakļānu novads,Varakļāni ,municipality
LV-103,Vārkavas novads,Vārkava ,municipality
LV-104,Vecpiebalgas novads,Vecpiebalga ,municipality
LV-105,Vecumnieku novads,Vecumnieki ,municipality
LV-106,Ventspils novads,Ventspils ,municipality
LV-107,Viesītes novads,Viesīte ,municipality
LV-108,Viļakas novads,Viļaka ,municipality
LV-109,Viļānu novads,Viļāni ,municipality
LV-110,Zilupes novads,Zilupe ,municipality
LV-DGV,Daugavpils, ,republican city
LV-JEL,Jelgava, ,republican city
LV-JKB,Jēkabpils, ,republican city
LV-JUR,Jūrmala, ,republican city
LV-LPX,Liepāja, ,republican city
LV-REZ,Rēzekne, ,republican city
LV-RIX,Rīga, ,republican city
LV-VMR,Valmiera, ,republican city
LV-VEN,Ventspils, ,republican city
