Former code,Subdivision name,Subdivision category
LV-AI,Aizkraukles Apriņķis,district
LV-AL,Alūksnes Apriņķis,district
LV-BL,Balvu Apriņķis,district
LV-BU,Bauskas Apriņķis,district
LV-CE,Cēsu Apriņķis,district
LV-DA,Daugavpils Apriņķis,district
LV-DO,Dobeles Apriņķis,district
LV-GU,Gulbenes Apriņķis,district
LV-JL,Jelgavas Apriņķis,district
LV-JK,Jēkabpils Apriņķis,district
LV-KR,Krāslavas Apriņķis,district
LV-KU,Kuldīgas Apriņķis,district
LV-LE,Liepājas Apriņķis,district
LV-LM,Limbažu Apriņķis,district
LV-LU,Ludzas Apriņķis,district
LV-MA,Madonas Apriņķis,district
LV-OG,Ogres Apriņķis,district
LV-PR,Preiļu Apriņķis,district
LV-RE,Rēzeknes Apriņķis,district
LV-RI,Rīgas Apriņķis,district
LV-SA,Saldus Apriņķis,district
LV-TA,Talsu Apriņķis,district
LV-TU,Tukuma Apriņķis,district
LV-VK,Valkas Apriņķis,district
LV-VM,Valmieras Apriņķis,district
LV-VE,Ventspils Apriņķis,district
