Code,Subdivision name ,Subdivision category,In region
MA-AGD,Agadir-Ida-Ou-Tanane,prefecture,09
MA-AOU,Aousserd,province,12
MA-ASZ,Assa-Zag,province,10
MA-AZI,Azilal,province,05
MA-BEM,Béni Mellal,province,05
MA-BES,Benslimane,province,06
MA-BER,Berkane,province,02
MA-BRR,Berrechid,province,06
MA-BOD,Boujdour,province,11
MA-BOM,Boulemane,province,03
MA-CAS,Casablanca,prefecture,08
MA-CHE,Chefchaouen,province,01
MA-CHI,Chichaoua,province,07
MA-CHT,Chtouka-Ait Baha,province,06
MA-DRI,Driouch,province,02
MA-ERR,Errachidia,province,08
MA-ESM,Es-Semara,province,11
MA-ESI,Essaouira,province,07
MA-FAH,Fahs-Anjra,province,01
MA-FES,Fès,prefecture,03
MA-FIG,Figuig,province,02
MA-FQH,Fquih Ben Salah,province,05
MA-GUE,Guelmim,province,10
MA-GUF,Guercif,province,02
MA-HAJ,El Hajeb,province,03
MA-HAO,Al Haouz,province,07
MA-HOC,Al Hoceïma,province,01
MA-IFR,Ifrane,province,03
MA-INE,Inezgane-Ait Melloul,prefecture,09
MA-JDI,El Jadida,province,06
MA-JRA,Jerada,province,02
MA-KES,El Kelâa des Sraghna,province,07
MA-KEN,Kénitra,province,04
MA-KHE,Khemisset,province,04
MA-KHN,Khenifra,province,05
MA-KHO,Khouribga,province,05
MA-LAA,Laâyoune,province,11
MA-LAR,Larache,province,01
MA-MAR,Marrakech,prefecture,07
MA-MDF,M’diq-Fnideq,prefecture,01
MA-MED,Médiouna,province,06
MA-MEK,Meknès,prefecture,03
MA-MID,Midelt,province,08
MA-MOH,Mohammadia,prefecture,06
MA-MOU,Moulay Yacoub,province,03
MA-NAD,Nador,province,02
MA-NOU,Nouaceur,province,04
MA-OUA,Ouarzazate,province,08
MA-OUD,Oued Ed-Dahab,province,12
MA-OUZ,Ouezzane,province,01
MA-OUJ,Oujda-Angad,prefecture,02
MA-RAB,Rabat,prefecture,04
MA-REH,Rehamna,province,07
MA-SAF,Safi,province,07
MA-SAL,Salé,prefecture,04
MA-SEF,Sefrou,province,03
MA-SET,Settat,province,08
MA-SIB,Sidi Bennour,province,06
MA-SIF,Sidi Ifni,province,10
MA-SIK,Sidi Kacem,province,06
MA-SIL,Sidi Slimane,province,04
MA-SKH,Skhirate-Témara,prefecture,04
MA-TNT,Tan-Tan,province,10
MA-TNG,Tanger-Assilah,prefecture,01
MA-TAO,Taounate,province,03
MA-TAI,Taourirt,province,02
MA-TAF,Tarfaya,province,11
MA-TAR,Taroudant,province,09
MA-TAT,Tata,province,09
MA-TAZ,Taza,province,03
MA-TET,Tétouan,province,01
MA-TIN,Tinghir,province,08
MA-TIZ,Tiznit,province,09
MA-YUS,Youssoufia,province,07
MA-ZAG,Zagora,province,08
