Code,Subdivision name ,Subdivision category
MD-GA,Găgăuzia Unitatea teritorială autonomă,autonomous territorial unit
MD-BA,Bălți,city
MD-BD,Bender,city
MD-CU,Chișinău,city
MD-AN,Anenii Noi,district
MD-BS,Basarabeasca,district
MD-BR,Briceni,district
MD-CA,Cahul,district
MD-CT,Cantemir,district
MD-CL,Călărași,district
MD-CS,Căușeni,district
MD-CM,Cimișlia,district
MD-CR,Criuleni,district
MD-DO,Dondușeni,district
MD-DR,Drochia,district
MD-DU,Dubăsari,district
MD-ED,Edineț,district
MD-FA,Fălești,district
MD-FL,Florești,district
MD-GL,Glodeni,district
MD-HI,Hîncești,district
MD-IA,Ialoveni,district
MD-LE,Leova,district
MD-NI,Nisporeni,district
MD-OC,Ocnița,district
MD-OR,Orhei,district
MD-RE,Rezina,district
MD-RI,Rîșcani,district
MD-SI,Sîngerei,district
MD-SO,Soroca,district
MD-ST,Strășeni,district
MD-SD,Șoldănești,district
MD-SV,Ștefan Vodă,district
MD-TA,Taraclia,district
MD-TE,Telenești,district
MD-UN,Ungheni,district
MD-SN,Stînga Nistrului unitatea teritorială din,territorial unit
