Before,After,Subdivision name
MK-AD,MK-01,Aerodrom
MK-AR,MK-02,Aračinovo
MK-BR,MK-03,Berovo
MK-TL,MK-04,Bitola
MK-BG,MK-05,Bogdanci
MK-VJ,MK-06,Bogovinje
MK-BS,MK-07,Bosilovo
MK-BN,MK-08,Brvenica
MK-BU,MK-09,Butel
MK-CE,MK-77,Centar
MK-CZ,MK-78,Centar Župa
MK-CI,MK-79,Čair
MK-CA,MK-80,Čaška
MK-CH,MK-81,Češinovo-Obleševo
MK-CS,MK-82,Čučer Sandevo
MK-DB,MK-21,Debar
MK-DA,MK-22,Debarca
MK-DL,MK-23,Delčevo
MK-DM,MK-25,Demir Hisar
MK-DK,MK-24,Demir Kapija
MK-SD,MK-26,Dojran
MK-DE,MK-27,Dolneni
MK-DR,MK-28,Drugovo
MK-GB,MK-17,Gazi Baba
MK-GV,MK-18,Gevgelija
MK-GP,MK-29,Gjorče Petrov
MK-GT,MK-19,Gostivar
MK-GR,MK-20,Gradsko
MK-IL,MK-34,Ilinden
MK-JG,MK-35,Jegunovce
MK-KB,MK-37,Karbinci
MK-KX,MK-38,Karpoš
MK-AV,MK-36,Kavadarci
MK-KH,MK-40,Kičevo
MK-VD,MK-39,Kisela Voda
MK-OC,MK-42,Kočani
MK-KN,MK-41,Konče
MK-KY,MK-43,Kratovo
MK-KZ,MK-44,Kriva Palanka
MK-KG,MK-45,Krivogaštani
MK-KS,MK-46,Kruševo
MK-UM,MK-47,Kumanovo
MK-LI,MK-48,Lipkovo
MK-LO,MK-49,Lozovo
MK-MK,MK-51,Makedonska Kamenica
MK-MD,MK-52,Makedonski Brod
MK-MR,MK-50,Mavrovo i Rostuša
MK-MG,MK-53,Mogila
MK-NG,MK-54,Negotino
MK-NV,MK-55,Novaci
MK-NS,MK-56,Novo Selo
MK-OD,MK-58,Ohrid
MK-OS,MK-57,Oslomej
MK-PH,MK-60,Pehčevo
MK-PE,MK-59,Petrovec
MK-PN,MK-61,Plasnica
MK-PP,MK-62,Prilep
MK-PT,MK-63,Probištip
MK-RV,MK-64,Radoviš
MK-RN,MK-65,Rankovce
MK-RE,MK-66,Resen
MK-RM,MK-67,Rosoman
MK-AJ,MK-68,Saraj
MK-SS,MK-70,Sopište
MK-NA,MK-71,Staro Nagoričane
MK-UG,MK-72,Struga
MK-RU,MK-73,Strumica
MK-SU,MK-74,Studeničani
MK-SL,MK-69,Sveti Nikole
MK-ST,MK-83,Štip
MK-SO,MK-84,Šuto Orizari
MK-TR,MK-75,Tearce
MK-ET,MK-76,Tetovo
MK-VA,MK-10,Valandovo
MK-VL,MK-11,Vasilevo
MK-VE,MK-13,Veles
MK-VV,MK-12,Vevčani
MK-NI,MK-14,Vinica
MK-VC,MK-15,Vraneštica
MK-VH,MK-16,Vrapčište
MK-ZA,MK-31,Zajas
MK-ZK,MK-32,Zelenikovo
MK-ZR,MK-33,Zrnovci
MK-ZE,MK-30,Želino
