Code,Subdivision name ,Subdivision name ,Local variant,Formerly in province
MV-02,North Ari Atoll,Ariatholhu Uthuruburi,Alifu Alifu,NC
MV-00,South Ari Atoll,Ariatholhu Dhekunuburi,Alifu Dhaalu,NC
MV-20,South Maalhosmadulu,Maalhosmadulu Dhekunuburi,Baa,NO
MV-17,South Nilandhe Atoll,Nilandheatholhu Dhekunuburi,Dhaalu,CE
MV-14,North Nilandhe Atoll,Nilandheatholhu Uthuruburi,Faafu,CE
MV-27,North Huvadhu Atoll,Huvadhuatholhu Uthuruburi,Gaafu Alifu,US
MV-28,South Huvadhu Atoll,Huvadhuatholhu Dhekunuburi,Gaafu Dhaalu,US
MV-29,Fuvammulah,Fuvammulah,Gnaviyani,SU
MV-07,North Thiladhunmathi,Thiladhunmathee Uthuruburi,Haa Alifu,UN
MV-23,South Thiladhunmathi,Thiladhunmathee Dhekunuburi,Haa Dhaalu,UN
MV-26,Male Atoll,Maaleatholhu,Kaafu,NC
MV-05,Hahdhunmathi,Hahdhunmathi,Laamu,SC
MV-03,Faadhippolhu,Faadhippolhu,Lhaviyani,NO
MV-12,Mulaku Atoll,Mulakatholhu,Meemu,CE
MV-25,South Miladhunmadulu,Miladhunmadulu Dhekunuburi,Noonu,NO
MV-13,North Maalhosmadulu,Maalhosmadulu Uthuruburi,Raa,NO
MV-24,North Miladhunmadulu,Miladhunmadulu Uthuruburi,Shaviyani,UN
MV-08,Kolhumadulu,Kolhumadulu,Thaa,SC
MV-04,Felidhu Atoll,Felidheatholhu,Vaavu,NC
