Code,Subdivision name ,Local variant,Subdivision category
MX-CMX,Ciudad de México,,federal district
MX-AGU,Aguascalientes,,state
MX-BCN,Baja California,,state
MX-BCS,Baja California Sur,,state
MX-CAM,Campeche,,state
MX-COA,Coahuila de Zaragoza,Coahuila,state
MX-COL,Colima,,state
MX-CHP,Chiapas,,state
MX-CHH,Chihuahua,,state
MX-DUR,Durango,,state
MX-GUA,Guanajuato,,state
MX-GRO,Guerrero,,state
MX-HID,Hidalgo,,state
MX-JAL,Jalisco,,state
MX-MEX,México,,state
MX-MIC,Michoacán de Ocampo,Michoacán,state
MX-MOR,Morelos,,state
MX-NAY,Nayarit,,state
MX-NLE,Nuevo León,,state
MX-OAX,Oaxaca,,state
MX-PUE,Puebla,,state
MX-QUE,Querétaro,,state
MX-ROO,Quintana Roo,,state
MX-SLP,San Luis Potosí,,state
MX-SIN,Sinaloa,,state
MX-SON,Sonora,,state
MX-TAB,Tabasco,,state
MX-TAM,Tamaulipas,,state
MX-TLA,Tlaxcala,,state
MX-VER,Veracruz de Ignacio de la Llave,Veracruz,state
MX-YUC,Yucatán,,state
MX-ZAC,Zacatecas,,state
