Code,Subdivision name ,Subdivision name ,Subdivision category
NZ-AUK,Auckland,Tāmaki-makau-rau,region
NZ-BOP,Bay of Plenty,Te Moana a Toi Te Huatahi,region
NZ-CAN,Canterbury,Waitaha,region
NZ-GIS,Gisborne,Tūranga nui a Kiwa,region
NZ-HKB,Hawke's Bay,Te Matau a Māui,region
NZ-MBH,Marlborough,,region
NZ-MWT,Manawatu-Wanganui,Manawatu Whanganui,region
NZ-NSN,Nelson,Whakatū,region
NZ-NTL,Northland,Te Tai tokerau,region
NZ-OTA,Otago,Ō Tākou,region
NZ-STL,Southland,Murihiku,region
NZ-TAS,Tasman,,region
NZ-TKI,Taranaki,Taranaki,region
NZ-WKO,,Waikato,region
NZ-WGN,Wellington,Te Whanga-nui-a-Tara,region
NZ-WTC,West Coast,Te Taihau ā uru,region
NZ-CIT,Chatham Islands Territory,Wharekauri,special island authority
