Code,Subdivision name ,Subdivision name ,Subdivision name ,Subdivision category
PE-LMA,Municipalidad Metropolitana de Lima,Lima llaqta suyu,Lima hatun llaqta,municipality
PE-AMA,Amazonas,Amarumayu,Amasunu,region
PE-ANC,Ancash,Anqash,Ankashu,region
PE-APU,Apurímac,Apurimaq,Apurimaq,region
PE-ARE,Arequipa,Ariqipa,Arikipa,region
PE-AYA,Ayacucho,Ayakuchu,Ayaquchu,region
PE-CAJ,Cajamarca,Kashamarka,Qajamarka,region
PE-CUS,Cusco,Qusqu,Kusku,region
PE-CAL,El Callao,Qallaw,Kallao,region
PE-HUV,Huancavelica,Wankawillka,Wankawelika,region
PE-HUC,Huánuco,Wanuku,Wanuku,region
PE-ICA,Ica,Ika,Ika,region
PE-JUN,Junín,Hunin,Junin,region
PE-LAL,La Libertad,Qispi kay,La Libertad,region
PE-LAM,Lambayeque,Lampalliqi,Lambayeque,region
PE-LIM,Lima,Lima,Lima,region
PE-LOR,Loreto,Luritu,Luritu,region
PE-MDD,Madre de Dios,Mayutata,Madre de Dios,region
PE-MOQ,Moquegua,Muqiwa,Moqwegwa,region
PE-PAS,Pasco,Pasqu,Pasqu,region
PE-PIU,Piura,Piwra,Piura,region
PE-PUN,Puno,Punu,Puno,region
PE-SAM,San Martín,San Martin,San Martín,region
PE-TAC,Tacna,Taqna,Takna,region
PE-TUM,Tumbes,Tumpis,Tumbes,region
PE-UCA,Ucayali,Ukayali,Ukayali,region
