Code,Subdivision name ,Subdivision name ,Roman,numeral
PH-14,Autonomous Region in Muslim Mindanao,Nagsasariling Rehiyon ng Muslim sa Mindanaw
PH-05,Bicol,Rehiyon ng Bikol,V
PH-02,Cagayan Valley,Rehiyon ng Lambak ng Kagayan,II
PH-40,Calabarzon,Rehiyon ng Calabarzon,IV-A
PH-13,Caraga,Rehiyon ng Karaga,XIII
PH-03,Central Luzon,Rehiyon ng Gitnang Luson,III
PH-07,Central Visayas,Rehiyon ng Gitnang Bisaya,VII
PH-15,Cordillera Administrative Region,Rehiyon ng Administratibo ng Kordilyera
PH-11,Davao,Rehiyon ng Dabaw,XI
PH-08,Eastern Visayas,Rehiyon ng Silangang Bisaya,VIII
PH-01,Ilocos,Rehiyon ng Iloko,I
PH-41,Mimaropa,Rehiyon ng Mimaropa,IV-B
PH-00,National Capital Region,Pambansang Punong Rehiyon
PH-10,Northern Mindanao,Rehiyon ng Hilagang Mindanaw,X
PH-12,Soccsksargen,Rehiyon ng Soccsksargen,XII
PH-06,Western Visayas,Rehiyon ng Kanlurang Bisaya,VI
PH-09,Zamboanga Peninsula,Rehiyon ng Tangway ng Sambuwangga,IX
