Code,Subdivision name ,Subdivision name ,In region
PH-ABR,Abra,Abra,15
PH-AGN,Agusan del Norte,Hilagang Agusan,13
PH-AGS,Agusan del Sur,Timog Agusan,13
PH-AKL,Aklan,Aklan,06
PH-ALB,Albay,Albay,05
PH-ANT,Antique,Antike,06
PH-APA,Apayao,Apayaw,15
PH-AUR,Aurora,Aurora,03
PH-BAS,Basilan,Basilan,09
PH-BAN,Bataan,Bataan,03
PH-BTN,Batanes,Batanes,02
PH-BTG,Batangas,Batangas,40
PH-BEN,Benguet,Benget,15
PH-BIL,Biliran,Biliran,08
PH-BOH,Bohol,Bohol,07
PH-BUK,Bukidnon,Bukidnon,10
PH-BUL,Bulacan,Bulakan,03
PH-CAG,Cagayan,Kagayan,02
PH-CAN,Camarines Norte,Hilagang Kamarines,05
PH-CAS,Camarines Sur,Timog Kamarines,05
PH-CAM,Camiguin,Kamigin,10
PH-CAP,Capiz,Kapis,06
PH-CAT,Catanduanes,Katanduwanes,05
PH-CAV,Cavite,Kabite,40
PH-CEB,Cebu,Sebu,07
PH-COM,Compostela Valley,Lambak ng Kompostela,11
PH-NCO,Cotabato,Kotabato,12
PH-DAV,Davao del Norte,Hilagang Dabaw,11
PH-DAS,Davao del Sur,Timog Dabaw,11
PH-DVO,Davao Occidental,Kanlurang Dabaw,11
PH-DAO,Davao Oriental,Silangang Dabaw,11
PH-DIN,Dinagat Islands,Pulo ng Dinagat,13
PH-EAS,Eastern Samar,Silangang Samar,08
PH-GUI,Guimaras,Gimaras,06
PH-IFU,Ifugao,Ipugaw,15
PH-ILN,Ilocos Norte,Hilagang Iloko,01
PH-ILS,Ilocos Sur,Timog Iloko,01
PH-ILI,Iloilo,Iloilo,06
PH-ISA,Isabela,Isabela,02
PH-KAL,Kalinga,Kalinga,15
PH-LUN,La Union,La Unyon,01
PH-LAG,Laguna,Laguna,40
PH-LAN,Lanao del Norte,Hilagang Lanaw,12
PH-LAS,Lanao del Sur,Timog Lanaw,14
PH-LEY,Leyte,Leyte,08
PH-MAG,Maguindanao,Magindanaw,14
PH-MAD,Marinduque,Marinduke,41
PH-MAS,Masbate,Masbate,05
PH-MDC,Mindoro Occidental,Kanlurang Mindoro,41
PH-MDR,Mindoro Oriental,Silangang Mindoro,41
PH-MSC,Misamis Occidental,Kanlurang Misamis,10
PH-MSR,Misamis Oriental,Silangang Misamis,10
PH-MOU,Mountain Province,Lalawigang Bulubundukin,15
PH-NEC,Negros Occidental,Kanlurang Negros,06
PH-NER,Negros Oriental,Silangang Negros,07
PH-NSA,Northern Samar,Hilagang Samar,08
PH-NUE,Nueva Ecija,Nuweva Esiha,03
PH-NUV,Nueva Vizcaya,Nuweva Biskaya,02
PH-PLW,Palawan,Palawan,41
PH-PAM,Pampanga,Pampanga,03
PH-PAN,Pangasinan,Pangasinan,01
PH-QUE,Quezon,Keson,40
PH-QUI,Quirino,Kirino,02
PH-RIZ,Rizal,Risal,40
PH-ROM,Romblon,Romblon,41
PH-WSA,Samar,Samar,08
PH-SAR,Sarangani,Sarangani,11
PH-SIG,Siquijor,Sikihor,07
PH-SOR,Sorsogon,Sorsogon,05
PH-SCO,South Cotabato,Timog Kotabato,11
PH-SLE,Southern Leyte,Katimogang Leyte,08
PH-SUK,Sultan Kudarat,Sultan Kudarat,12
PH-SLU,Sulu,Sulu,14
PH-SUN,Surigao del Norte,Hilagang Surigaw,13
PH-SUR,Surigao del Sur,Timog Surigaw,13
PH-TAR,Tarlac,Tarlak,03
PH-TAW,Tawi-Tawi,Tawi-Tawi,14
PH-ZMB,Zambales,Sambales,03
PH-ZAN,Zamboanga del Norte,Hilagang Sambuwangga,09
PH-ZAS,Zamboanga del Sur,Timog Sambuwangga,09
PH-ZSI,Zamboanga Sibugay,Sambuwangga Sibugay,09
