Code,Subdivision name ,Subdivision name 
PL-02,Dolnośląskie,Lower Silesia
PL-04,Kujawsko-pomorskie,Kuyavia-Pomerania
PL-06,Lubelskie,Lublin
PL-08,Lubuskie,Lubusz
PL-10,Łódzkie,Łódź
PL-12,Małopolskie,Lesser Poland
PL-14,Mazowieckie,Mazovia
PL-16,Opolskie,Opole (Upper Silesia)
PL-18,Podkarpackie,Subcarpathia
PL-20,Podlaskie,Podlaskie
PL-22,Pomorskie,Pomerania
PL-24,Śląskie,Silesia
PL-26,Świętokrzyskie,Holy Cross
PL-28,Warmińsko-mazurskie,Warmia-Masuria
PL-30,Wielkopolskie,Greater Poland
PL-32,Zachodniopomorskie,West Pomerania
