Former code,Subdivision name 
PL-BP,Biała Podlaska
PL-BK,Białystok
PL-BB,Bielsko-Biała
PL-BY,Bydgoszcz
PL-CH,Chełm
PL-CI,Ciechanów
PL-CZ,Częstochowa
PL-EL,Elbląg
PL-GD,Gdańsk
PL-GO,Gorzów
PL-JG,Jelenia Góra
PL-KL,Kalisz
PL-KA,Katowice
PL-KI,Kielce
PL-KN,Konin
PL-KO,Koszalin
PL-KR,Kraków
PL-KS,Krosno
PL-LG,Legnica
PL-LE,Leszno
PL-LU,Lublin
PL-LO,Łomża
PL-LD,Łódź
PL-NS,Nowy Sącz
PL-OL,Olsztyn
PL-OP,Opole
PL-OS,Ostrołęka
PL-PI,Piła
PL-PT,Piotrków
PL-PL,Płock
PL-PO,Poznań
PL-PR,Przemyśl
PL-RA,Radom
PL-RZ,Rzeszów
PL-SE,Siedlce
PL-SI,Sieradz
PL-SK,Skierniewice
PL-SL,Słupsk
PL-SU,Suwałki
PL-SZ,Szczecin
PL-TG,Tarnobrzeg
PL-TA,Tarnów
PL-TO,Toruń
PL-WB,Wałbrzych
PL-WA,Warszawa
PL-WL,Włocławek
PL-WR,Wrocław
PL-ZA,Zamość
PL-ZG,Zielona Góra
