Code,Subdivision name ,Subdivision category
RO-AB,Alba,department
RO-AR,Arad,department
RO-AG,Argeș,department
RO-BC,Bacău,department
RO-BH,Bihor,department
RO-BN,Bistrița-Năsăud,department
RO-BT,Botoșani,department
RO-BV,Brașov,department
RO-BR,Brăila,department
RO-BZ,Buzău,department
RO-CS,Caraș-Severin,department
RO-CL,Călărași,department
RO-CJ,Cluj,department
RO-CT,Constanța,department
RO-CV,Covasna,department
RO-DB,Dâmbovița,department
RO-DJ,Dolj,department
RO-GL,Galați,department
RO-GR,Giurgiu,department
RO-GJ,Gorj,department
RO-HR,Harghita,department
RO-HD,Hunedoara,department
RO-IL,Ialomița,department
RO-IS,Iași,department
RO-IF,Ilfov,department
RO-MM,Maramureș,department
RO-MH,Mehedinți,department
RO-MS,Mureș,department
RO-NT,Neamț,department
RO-OT,Olt,department
RO-PH,Prahova,department
RO-SM,Satu Mare,department
RO-SJ,Sălaj,department
RO-SB,Sibiu,department
RO-SV,Suceava,department
RO-TR,Teleorman,department
RO-TM,Timiș,department
RO-TL,Tulcea,department
RO-VS,Vaslui,department
RO-VL,Vâlcea,department
RO-VN,Vrancea,department
RO-B,București,municipality
