Code,Subdivision name ,Subdivision name ,Subdivision name 
SC-01,Anse aux Pins,Anse aux Pins,Ans o Pen
SC-02,Anse Boileau,Anse Boileau,Ans Bwalo
SC-03,Anse Etoile,Anse Étoile,Ans Etwal
SC-05,Anse Royale,Anse Royale,Ans Royal
SC-04,Au Cap,Au Cap,O Kap
SC-06,Baie Lazare,Baie Lazare,Be Lazar
SC-07,Baie Sainte Anne,Baie Sainte-Anne,Be Sent Ann
SC-08,Beau Vallon,Beau Vallon,Bovalon
SC-09,Bel Air,Bel Air,Beler
SC-10,Bel Ombre,Bel Ombre,Belonm
SC-11,Cascade,Cascade,Kaskad
SC-12,Glacis,Glacis,Glasi
SC-13,Grand Anse Mahe,Grand'Anse Mahé,Grand Ans Mae
SC-14,Grand Anse Praslin,Grand'Anse Praslin,Grand Ans Pralen
SC-15,La Digue,La Digue,Ladig
SC-16,English River,La Rivière Anglaise,Larivyer Anglez
SC-24,Les Mamelles,Les Mamelles,Lemamel
SC-17,Mont Buxton,Mont Buxton,Mon Bikston
SC-18,Mont Fleuri,Mont Fleuri,Mon Fleri
SC-19,Plaisance,Plaisance,Plezans
SC-20,Pointe Larue,Pointe La Rue,Pwent Lari
SC-21,Port Glaud,Port Glaud,Porglo
SC-25,Roche Caiman,Roche Caïman,Ros Kaiman
SC-22,Saint Louis,Saint-Louis,Sen Lwi
SC-23,Takamaka,Takamaka,Takamaka
