Code,Subdivision name ,Subdivision name 
SD-RS,Al Baḩr al Aḩmar,Red Sea
SD-GZ,Al Jazīrah,Gezira
SD-KH,Al Kharţūm,Khartoum
SD-GD,Al Qaḑārif,Gedaref
SD-NR,Nahr an Nīl,River Nile
SD-NW,An Nīl al Abyaḑ,White Nile
SD-NB,An Nīl al Azraq,Blue Nile
SD-NO,Ash Shamālīyah,Northern
SD-DW,Gharb Dārfūr,West Darfur
SD-GK,Gharb Kurdufān,West Kordofan
SD-DS,Janūb Dārfūr,South Darfur
SD-KS,Janūb Kurdufān,South Kordofan
SD-KA,Kassalā,Kassala
SD-DN,Shamāl Dārfūr,North Darfur
SD-KN,Shiamāl Kurdufān,North Kordofan
SD-DE,Sharq Dārfūr,East Darfur
SD-SI,Sinnār,Sennar
SD-DC,Wasaţ Dārfūr Zālinjay,Central Darfur
