Code,Subdivision name ,Alternative code
SE-K,Blekinge län,SE-10
SE-W,Dalarnas län,SE-20
SE-I,Gotlands län,SE-09
SE-X,Gävleborgs län,SE-21
SE-N,Hallands län,SE-13
SE-Z,Jämtlands län,SE-23
SE-F,Jönköpings län,SE-06
SE-H,Kalmar län,SE-08
SE-G,Kronobergs län,SE-07
SE-BD,Norrbottens län,SE-25
SE-M,Skåne län,SE-12
SE-AB,Stockholms län,SE-01
SE-D,Södermanlands län,SE-04
SE-C,Uppsala län,SE-03
SE-S,Värmlands län,SE-17
SE-AC,Västerbottens län,SE-24
SE-Y,Västernorrlands län,SE-22
SE-U,Västmanlands län,SE-19
SE-O,Västra Götalands län,SE-14
SE-T,Örebro län,SE-18
SE-E,Östergötlands län,SE-05
