Code,Subdivision name ,Subdivision name 
TD-BA,Al Baţḩah,Batha
TD-LC,Al Buḩayrah,Lac
TD-BG,Baḩr al Ghazāl,Bahr el Ghazal
TD-BO,Būrkū,Borkou
TD-HL,Ḩajjar Lamīs,Hadjer Lamis
TD-EE,,Ennedi-Est
TD-EO,,Ennedi-Ouest
TD-KA,Kānim,Kanem
TD-LO,Lūqūn al Gharbī,Logone-Occidental
TD-LR,Lūqūn ash Sharqī,Logone-Oriental
TD-ND,Madīnat Injamīnā,Ville de Ndjamena
TD-MA,Māndūl,Mandoul
TD-MO,Māyū Kībbī al Gharbī,Mayo-Kebbi-Ouest
TD-ME,Māyū Kībbī ash Sharqī,Mayo-Kebbi-Est
TD-GR,Qīrā,Guéra
TD-SA,Salāmāt,Salamat
TD-MC,Shārī al Awsaţ,Moyen-Chari
TD-CB,Shārī Bāqirmī,Chari-Baguirmi
TD-SI,Sīlā,Sila
TD-TA,Tānjilī,Tandjilé
TD-TI,Tibastī,Tibesti
TD-OD,Waddāy,Ouaddaï
TD-WF,Wādī Fīrā,Wadi Fira
