Code,Subdivision name ,Subdivision name ,Category
TL-AL,Aileu,Aileu,municipality
TL-AN,Ainaro,Ainaru,municipality
TL-BA,Baucau,Baukau,municipality
TL-BO,Bobonaro,Bobonaru,municipality
TL-CO,Cova Lima,Kovalima,municipality
TL-DI,Díli,Díli,municipality
TL-ER,Ermera,Ermera,municipality
TL-LA,Lautém,Lautein,municipality
TL-LI,Liquiça,Likisá,municipality
TL-MT,Manatuto,Manatutu,municipality
TL-MF,Manufahi,Manufahi,municipality
TL-OE,Oé-Cusse Ambeno,Oekusi-Ambenu,special administrative region
TL-VI,Viqueque,Vikeke,municipality
