Code,Subdivision name ,Subdivision category
UA-71,Cherkaska oblast,region
UA-74,Chernihivska oblast,region
UA-77,Chernivetska oblast,region
UA-12,Dnipropetrovska oblast,region
UA-14,Donetska oblast,region
UA-26,Ivano-Frankivska oblast,region
UA-63,Kharkivska oblast,region
UA-65,Khersonska oblast,region
UA-68,Khmelnytska oblast,region
UA-35,Kirovohradska oblast,region
UA-32,Kyivska oblast,region
UA-09,Luhanska oblast,region
UA-46,Lvivska oblast,region
UA-48,Mykolaivska oblast,region
UA-51,Odeska oblast,region
UA-53,Poltavska oblast,region
UA-56,Rivnenska oblast,region
UA-59,Sumska oblast,region
UA-61,Ternopilska oblast,region
UA-05,Vinnytska oblast,region
UA-07,Volynska oblast,region
UA-21,Zakarpatska oblast,region
UA-23,Zaporizka oblast,region
UA-18,Zhytomyrska oblast,region
UA-43,Avtonomna Respublika Krym,republic
UA-30,Kyiv,city
UA-40,Sevastopol,city
