Code,Subdivision name ,Subdivision category,In geographical region
UG-314,Abim,district,N
UG-301,Adjumani,district,N
UG-322,Agago,district,N
UG-323,Alebtong,district,N
UG-315,Amolatar,district,N
UG-324,Amudat,district,N
UG-216,Amuria,district,E
UG-316,Amuru,district,N
UG-302,Apac,district,N
UG-303,Arua,district,N
UG-217,Budaka,district,E
UG-218,Bududa,district,E
UG-201,Bugiri,district,E
UG-235,Bugweri,district,E
UG-420,Buhweju,district,W
UG-117,Buikwe,district,C
UG-219,Bukedea,district,E
UG-118,Bukomansibi,district,C
UG-220,Bukwa,district,E
UG-225,Bulambuli,district,E
UG-416,Buliisa,district,W
UG-401,Bundibugyo,district,W
UG-430,Bunyangabu,district,W
UG-402,Bushenyi,district,W
UG-202,Busia,district,E
UG-221,Butaleja,district,E
UG-119,Butambala,district,C
UG-233,Butebo,district,E
UG-120,Buvuma,district,C
UG-226,Buyende,district,E
UG-317,Dokolo,district,N
UG-121,Gomba,district,C
UG-304,Gulu,district,N
UG-403,Hoima,district,W
UG-417,Ibanda,district,W
UG-203,Iganga,district,E
UG-418,Isingiro,district,W
UG-204,Jinja,district,E
UG-318,Kaabong,district,N
UG-404,Kabale,district,W
UG-405,Kabarole,district,W
UG-213,Kaberamaido,district,E
UG-427,Kagadi,district,W
UG-428,Kakumiro,district,W
UG-101,Kalangala,district,C
UG-222,Kaliro,district,E
UG-122,Kalungu,district,C
UG-102,Kampala,city,C
UG-205,Kamuli,district,E
UG-413,Kamwenge,district,W
UG-414,Kanungu,district,W
UG-206,Kapchorwa,district,E
UG-236,Kapelebyong,district,E
UG-126,Kasanda,district,C
UG-406,Kasese,district,W
UG-207,Katakwi,district,E
UG-112,Kayunga,district,C
UG-407,Kibaale,district,W
UG-103,Kiboga,district,C
UG-227,Kibuku,district,E
UG-432,Kikuube,district,W
UG-419,Kiruhura,district,W
UG-421,Kiryandongo,district,W
UG-408,Kisoro,district,W
UG-305,Kitgum,district,N
UG-319,Koboko,district,N
UG-325,Kole,district,N
UG-306,Kotido,district,N
UG-208,Kumi,district,E
UG-333,Kwania,district,N
UG-228,Kween,district,E
UG-123,Kyankwanzi,district,C
UG-422,Kyegegwa,district,W
UG-415,Kyenjojo,district,W
UG-125,Kyotera,district,C
UG-326,Lamwo,district,N
UG-307,Lira,district,N
UG-229,Luuka,district,E
UG-104,Luwero,district,C
UG-124,Lwengo,district,C
UG-114,Lyantonde,district,C
UG-223,Manafwa,district,E
UG-320,Maracha,district,N
UG-105,Masaka,district,C
UG-409,Masindi,district,W
UG-214,Mayuge,district,E
UG-209,Mbale,district,E
UG-410,Mbarara,district,W
UG-423,Mitooma,district,W
UG-115,Mityana,district,C
UG-308,Moroto,district,N
UG-309,Moyo,district,N
UG-106,Mpigi,district,C
UG-107,Mubende,district,C
UG-108,Mukono,district,C
UG-334,Nabilatuk,district,N
UG-311,Nakapiripirit,district,N
UG-116,Nakaseke,district,C
UG-109,Nakasongola,district,C
UG-230,Namayingo,district,E
UG-234,Namisindwa,district,E
UG-224,Namutumba,district,E
UG-327,Napak,district,N
UG-310,Nebbi,district,N
UG-231,Ngora,district,E
UG-424,Ntoroko,district,W
UG-411,Ntungamo,district,W
UG-328,Nwoya,district,N
UG-331,Omoro,district,N
UG-329,Otuke,district,N
UG-321,Oyam,district,N
UG-312,Pader,district,N
UG-332,Pakwach,district,N
UG-210,Pallisa,district,E
UG-110,Rakai,district,C
UG-429,Rubanda,district,W
UG-425,Rubirizi,district,W
UG-431,Rukiga,district,W
UG-412,Rukungiri,district,W
UG-111,Sembabule,district,C
UG-232,Serere,district,E
UG-426,Sheema,district,W
UG-215,Sironko,district,E
UG-211,Soroti,district,E
UG-212,Tororo,district,E
UG-113,Wakiso,district,C
UG-313,Yumbe,district,N
UG-330,Zombo,district,N
