Before,After,Subdivision name
UG-AJM,UG-301,Adjumani
UG-APA,UG-302,Apac
UG-ARU,UG-303,Arua
UG-BUG,UG-201,Bugiri
UG-BUN,UG-401,Bundibugyo
UG-BUS,UG-402,Bushenyi
UG-BUA,UG-202,Busia
UG-GUL,UG-304,Gulu
UG-HOI,UG-403,Hoima
UG-IGA,UG-203,Iganga
UG-JIN,UG-204,Jinja
UG-KBL,UG-404,Kabale
UG-KBR,UG-405,Kabarole
UG-KLG,UG-101,Kalangala
UG-KLA,UG-102,Kampala
UG-KLI,UG-205,Kamuli
UG-KAP,UG-206,Kapchorwa
UG-KAS,UG-406,Kasese
UG-KAT,UG-207,Katakwi
UG-KLE,UG-407,Kibaale
UG-KIB,UG-103,Kiboga
UG-KIS,UG-408,Kisoro
UG-KIT,UG-305,Kitgum
UG-KOT,UG-306,Kotido
UG-KUM,UG-208,Kumi
UG-LIR,UG-307,Lira
UG-LUW,UG-104,Luwero
UG-MSK,UG-105,Masaka
UG-MSI,UG-409,Masindi
UG-MBL,UG-209,Mbale
UG-MBR,UG-410,Mbarara
UG-MOR,UG-308,Moroto
UG-MOY,UG-309,Moyo
UG-MPI,UG-106,Mpigi
UG-MUB,UG-107,Mubende
UG-MUK,UG-108,Mukono
UG-NAK,UG-109,Nakasongola
UG-NEB,UG-310,Nebbi
UG-NTU,UG-411,Ntungamo
UG-PAL,UG-210,Pallisa
UG-RAK,UG-110,Rakai
UG-RUK,UG-412,Rukungiri
UG-SEM,UG-111,Sembabule
UG-SOR,UG-211,Soroti
UG-TOR,UG-212,Tororo
