Code,Subdivision name ,Subdivision category
VN-44,An Giang,province
VN-43,Bà Rịa - Vũng Tàu,province
VN-54,Bắc Giang,province
VN-53,Bắc Kạn,province
VN-55,Bạc Liêu,province
VN-56,Bắc Ninh,province
VN-50,Bến Tre,province
VN-31,Bình Định,province
VN-57,Bình Dương,province
VN-58,Bình Phước,province
VN-40,Bình Thuận,province
VN-59,Cà Mau,province
VN-04,Cao Bằng,province
VN-33,Đắk Lắk,province
VN-72,Đắk Nông,province
VN-71,Điện Biên,province
VN-39,Đồng Nai,province
VN-45,Đồng Tháp,province
VN-30,Gia Lai,province
VN-03,Hà Giang,province
VN-63,Hà Nam,province
VN-23,Hà Tĩnh,province
VN-61,Hải Dương,province
VN-73,Hậu Giang,province
VN-14,Hòa Bình,province
VN-66,Hưng Yên,province
VN-34,Khánh Hòa,province
VN-47,Kiến Giang,province
VN-28,Kon Tum,province
VN-01,Lai Châu,province
VN-35,Lâm Đồng,province
VN-09,Lạng Sơn,province
VN-02,Lào Cai,province
VN-41,Long An,province
VN-67,Nam Định,province
VN-22,Nghệ An,province
VN-18,Ninh Bình,province
VN-36,Ninh Thuận,province
VN-68,Phú Thọ,province
VN-32,Phú Yên,province
VN-24,Quảng Bình,province
VN-27,Quảng Nam,province
VN-29,Quảng Ngãi,province
VN-13,Quảng Ninh,province
VN-25,Quảng Trị,province
VN-52,Sóc Trăng,province
VN-05,Sơn La,province
VN-37,Tây Ninh,province
VN-20,Thái Bình,province
VN-69,Thái Nguyên,province
VN-21,Thanh Hóa,province
VN-26,Thừa Thiên-Huế,province
VN-46,Tiền Giang,province
VN-51,Trà Vinh,province
VN-07,Tuyên Quang,province
VN-49,Vĩnh Long,province
VN-70,Vĩnh Phúc,province
VN-06,Yên Bái,province
VN-CT,Can Tho,municipality
VN-DN,Da Nang,municipality
VN-HN,Ha Noi,municipality
VN-HP,Hai Phong,municipality
VN-SG,Ho Chi Minh,municipality
