Code,Subdivision name ,Subdivision category
YE-SA,Amānat al ‘Āşimah,municipality
YE-AB,Abyan,governorate
YE-AD,‘Adan,governorate
YE-DA,Aḑ Ḑāli‘,governorate
YE-BA,Al Bayḑā’,governorate
YE-HU,Al Ḩudaydah,governorate
YE-JA,Al Jawf,governorate
YE-MR,Al Mahrah,governorate
YE-MW,Al Maḩwīt,governorate
YE-AM,‘Amrān,governorate
YE-SU,Arkhabīl Suquţrá,governorate
YE-DH,Dhamār,governorate
YE-HD,Ḩaḑramawt,governorate
YE-HJ,Ḩajjah,governorate
YE-IB,Ibb,governorate
YE-LA,Laḩij,governorate
YE-MA,Ma’rib,governorate
YE-RA,Raymah,governorate
YE-SD,Şāʻdah,governorate
YE-SN,Şanʻā’,governorate
YE-SH,Shabwah,governorate
YE-TA,Tāʻizz,governorate
