Code,Subdivision name ,Subdivision name ,Subdivision name ,Subdivision name ,Subdivision name ,Subdivision name 
ZA-EC,Eastern Cape,Oos-Kaap,iPumalanga-Kapa,Kapa Bohlabela,Kapa Botjhabela,
ZA-FS,Free State,Vrystaat,iFreyistata,Freistata,Freistata,
ZA-GT,Gauteng,Gauteng,iGauteng,Gauteng,Kgauteng,Gauteng
ZA-NL,Kwazulu-Natal,KwaZulu-Natal,iKwaZulu-Natal,GaZulu-Natala,Hazolo-Natala,KwaZulu-Natali
ZA-LP,Limpopo,Limpopo,Limpopo,Limpopo,Limpopo,Limpopo
ZA-MP,Mpumalanga,Mpumalanga,iMpumalanga,Mpumalanga,Mpumalanga,Mpumalanga
ZA-NC,Northern Cape,Noord-Kaap,iTlhagwini-Kapa,Kapa Leboya,Kapa Leboya,
ZA-NW,North-West,Noordwes,iTlhagwini-Tjhingalanga,Lebowa Bodikela,Leboya (le) Bophirima,
ZA-WC,Western Cape,Wes-Kaap,iTjhingalanga-Kapa,Kapa Bodikela,Kapa Bophirimela,
