Code,Subdivision name ,Subdivision name ,Subdivision name ,Subdivision name ,Subdivision name 
ZA-EC,Kapa-Vuxa,Kapa Botlhaba,Kapa Vhubvaḓuvha,Mpuma-Koloni,Mpumalanga-Kapa
ZA-FS,Free State,Foreisetata,Fureisitata,Freyistata,Fuleyisitata
ZA-GT,Gauteng,Gauteng,Gauteng,Rhawuti,Gauteng
ZA-NL,Kwazulu-Natal,KwaZulu-Natal,HaZulu-Natal,KwaZulu-Natala,KwaZulu-Natali
ZA-LP,Limpopo,Limpopo,Vhembe,Limpopo,Limpopo
ZA-MP,Mpumalanga,Mpumalanga,Mpumalanga,Mpumalanga,Mpumalanga
ZA-NC,Kapa-N'walungu,Kapa Bokone,Kapa Devhula,Mntla-Koloni,Nyakatho-Kapa
ZA-NW,N'walungu-Vupeladyambu,Bokone Bophirima,,Mntla-Ntshona,Nyakatho-Ntshonalanga
ZA-WC,Kapa-Vupeladyambu,Kapa Bophirima,Kapa Vhukovhela,Ntshona-Koloni,Ntshonalanga-Kapa
