Language family,ISO language name,Native name (endonym),639-1,639-2/T,639-2/B,639-3,Notes
Northwest Caucasian,Abkhazian,аҧсуа бызшәа аҧсшәа,ab,abk,abk,abk,also known as Abkhaz
Afro-Asiatic,Afar,Afaraf,aa,aar,aar,aar,
Indo-European,Afrikaans,Afrikaans,af,afr,afr,afr,
Niger–Congo,Akan,Akan,ak,aka,aka,aka + , 
Indo-European,Albanian,Shqip,sq,sqi,,sqi + ," ""Albanian Phylozone"" in 639-6"
Afro-Asiatic,Amharic,አማርኛ,am,amh,amh,amh,
Afro-Asiatic,Arabic,,ar,ara,ara,ara + , 
Indo-European,Aragonese,aragonés,an,arg,arg,arg,
Indo-European,Armenian,Հայերեն,hy,hye,,hye,"also known as Հայերէն; ISO 639-3 code ""hye"" is for Eastern Armenian ""hyw"" is for Western Armenian and ""xcl"" is for Classical Armenian"
Indo-European,Assamese,অসমীয়�?as,asm,asm,asm,,
Northeast Caucasian,Avaric,авар мацӀ магӀарул мацӀ,av,ava,ava,ava,also known as Avar
Indo-European,Avestan,avesta,ae,ave,ave,ave,ancient
Aymaran,Aymara,aymar aru,ay,aym,aym,aym + ,macrolanguage
Turkic,Azerbaijani,azərbaycan dili,az,aze,aze,aze + ,macrolanguage
Niger–Congo,Bambara,bamanankan,bm,bam,bam,bam,
Turkic,Bashkir,башҡорт теле,ba,bak,bak,bak,
Language isolate,Basque,euskara euskera,eu,eus,,eus,
Indo-European,Belarusian,беларуская мова,be,bel,bel,bel,
Indo-European,Bengali,বাংল�?bn,ben,ben,ben,also known as Bangla,
Indo-European,Bihari languages,भोजपुरी,bh,bih,bih,,collective language code for 
Creole,Bislama,Bislama,bi,bis,bis,bis,Language formed from English and Ni-Vanuatu with some French influence.
Indo-European,Bosnian,bosanski jezik,bs,bos,bos,bos,
Indo-European,Breton,brezhoneg,br,bre,bre,bre,
Indo-European,Bulgarian,български език,bg,bul,bul,bul,
Sino-Tibetan,Burmese,ဗမာစ�?my,mya,,mya,,
